sample_no,SampleID,Method,Rt1,Rt2,QuantSN,QuantMass,QuantArea,Concentration,MolecularFormula,Monoiso_Mass,Smiles,IDLevel,Name,CAS
238,611 238,GCxGC,1.3226967592592592E-2,2.45486,151,BPI(181.064934Â±3ppm),106516,36.841168307339601,C13H10O,182.07320000000001,O=Cc1ccc(cc1)c2ccccc2,2,"[1,1'-Biphenyl]-4-carboxaldehyde",3218-36-8
241,483 241,GCxGC,1.3388888888888889E-2,2.8559999999999901,102,BPI(181.064814Â±3ppm),15009,7.5373078282165702,C13H10O,182.07320000000001,O=Cc1ccc(cc1)c2ccccc2,2,"[1,1'-Biphenyl]-4-carboxaldehyde",3218-36-8
238,*21 239,GCxGC,1.3226967592592592E-2,2.4411499999999902,13,BPI(181.06455Â±0.00100),11924,3.6653817542435898,C13H10O,182.07320000000001,O=Cc1ccc(cc1)c2ccccc2,2,"[1,1'-Biphenyl]-4-carboxaldehyde",3218-36-8
243,580 243,GCxGC,1.3226967592592592E-2,2.4658600000000002,47,BPI(181.064948Â±3ppm),26232,1.3169655745590401,C13H10O,182.07320000000001,O=Cc1ccc(cc1)c2ccccc2,2,"[1,1'-Biphenyl]-4-carboxaldehyde",3218-36-8
222,*18 222,GCxGC,6.3460648148148148E-3,1.79657,130,BPI(59.04865Â±0.00100),878516,3939.2704254289702,C10H22O3,190.15690000000001,CCCCOCC(C)OCC(C)O,3,1-(2-Butoxy-1-methylethoxy)propan-2-ol,29911-28-2
223,*10 223,GCxGC,6.3460648148148148E-3,1.78972,122,BPI(59.04865Â±0.00100),746214,2448.71077566758,C10H22O3,190.15690000000001,CCCCOCC(C)OCC(C)O,2,1-(2-Butoxy-1-methylethoxy)propan-2-ol,29911-28-2
224,*15 224,GCxGC,6.3460648148148148E-3,1.78972,60,BPI(59.04865Â±0.00100),319827,957.13601675893995,C10H22O3,190.15690000000001,CCCCOCC(C)OCC(C)O,3,1-(2-Butoxy-1-methylethoxy)propan-2-ol,29911-28-2
225,70 225,GCxGC,6.4674768518518527E-3,1.7878400000000001,71,BPI(59.049201Â±3ppm),40525,194.73108849993301,C10H22O3,190.15690000000001,CCCCOCC(C)OCC(C)O,3,1-(2-Butoxy-1-methylethoxy)propan-2-ol,29911-28-2
220,*15 220,GCxGC,6.4269675925925926E-3,1.78972,12,BPI(59.04865Â±0.00100),16479,14.345126561204401,C10H22O3,190.15690000000001,CCCCOCC(C)OCC(C)O,3,1-(2-Butoxy-1-methylethoxy)propan-2-ol,29911-28-2
230,*17 230,GCxGC,6.4269675925925926E-3,1.79657,13,BPI(59.04865Â±0.00100),25607,3.5891199529594999,C10H22O3,190.15690000000001,CCCCOCC(C)OCC(C)O,3,1-(2-Butoxy-1-methylethoxy)propan-2-ol,29911-28-2
229,*23 229,GCxGC,1.2700810185185185E-2,2.2080000000000002,347,BPI(151.03855Â±0.00100),698504,207.31980142824199,C9H10O3,166.06299999999899,CC(=O)c1ccc(O)c(C)c1O,2,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",10139-84-1
228,*28 228,GCxGC,1.2700810185185185E-2,2.2080000000000002,222,BPI(151.03855Â±0.00100),372664,97.536188158598804,C9H10O3,166.06299999999899,CC(=O)c1ccc(O)c(C)c1O,2,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",10139-84-1
230,*36 230,GCxGC,1.2700810185185185E-2,2.2011500000000002,107,BPI(151.03855Â±0.00100),201642,43.6375997774946,C9H10O3,166.06299999999899,CC(=O)c1ccc(O)c(C)c1O,2,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",10139-84-1
232,415 232,GCxGC,1.2700810185185185E-2,2.19929,76,BPI(151.039089Â±3ppm),42205,37.942711225850701,C9H10O3,166.06299999999899,CC(=O)c1ccc(O)c(C)c1O,2,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",10139-84-1
231,*25 231,GCxGC,1.2700810185185185E-2,2.2011500000000002,13,BPI(151.03855Â±0.00100),12698,7.9928707470404001,C9H10O3,166.06299999999899,CC(=O)c1ccc(O)c(C)c1O,NA,"1-(2,4-Dihydroxy-3-methylphenyl)ethanone",10139-84-1
219,410 219,GCxGC,2.0674652777777778E-2,3.14448999999999,40,BPI(214.041864Â±3ppm),41205,189.64227773239199,C14H9Cl2NO,277.0061,Clc1cccc(Cl)c1N2C(=O)Cc3ccccc23,3,"1-(2,6-Dichlorophenyl)-2-indolinone",15362-40-0
220,766 220,GCxGC,2.0674652777777778E-2,3.1470600000000002,36,BPI(214.041862Â±3ppm),37683,86.685376457868401,C14H9Cl2NO,277.0061,Clc1cccc(Cl)c1N2C(=O)Cc3ccccc23,3,"1-(2,6-Dichlorophenyl)-2-indolinone",15362-40-0
221,455 221,GCxGC,2.0674652777777778E-2,3.1304699999999901,50,BPI(214.042413Â±3ppm),28554,58.971803861027702,C14H9Cl2NO,277.0061,Clc1cccc(Cl)c1N2C(=O)Cc3ccccc23,3,"1-(2,6-Dichlorophenyl)-2-indolinone",15362-40-0
231,9.4499999999999904,LC,na,lc,NA,NA,NA,NA,C17H24O,mz 243.17527,CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C,3,"1-(6-tert-Butyl-1,1-dimethyl-2,3-dihydro-1H-inden-4-yl)ethanone",13171-00-1
243,NA,LC,11.78,NA,NA,327.04149999999902,NA,NA,C16H10ClN3O3,NA,[O-][N+](=O)c1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(Cl)c1,2,1-[(2-chloro-4-nitrophenyl)azo]-2-naphthol,2814-77-9
222,NA,LC,11.81,NA,NA,327.04079999999902,NA,NA,C16H10ClN3O3,NA,[O-][N+](=O)c1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(Cl)c1,2,1-[(2-chloro-4-nitrophenyl)azo]-2-naphthol,2814-77-9
223,NA,LC,11.85,NA,NA,327.0412,NA,NA,C16H10ClN3O3,NA,[O-][N+](=O)c1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(Cl)c1,2,1-[(2-chloro-4-nitrophenyl)azo]-2-naphthol,2814-77-9
228,not applicable,LC,11.83,LC,Qualitative,327.04050000000001,NA,Qualitative,C16H10ClN3O3,not applicable,[O-][N+](=O)c1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(Cl)c1,3,1-[(2-chloro-4-nitrophenyl)azo]-2-naphthol,2814-77-9
234,4 234,GC,28.809000000000001,GC only,Qualitative,78.919899999999998,564,Qualitative,C12H8Br2O,325.8947,c1ccc(c(c1)Oc2ccc(cc2)Br)Br,2,1-Bromo-2-(4-bromophenoxy)benzene,147217-71-8
233,4 233,GC,28.809000000000001,GC only,Qualitative,78.919899999999998,1434,Qualitative,C12H8Br2O,325.8947,c1ccc(c(c1)Oc2ccc(cc2)Br)Br,2,1-Bromo-2-(4-bromophenoxy)benzene,147217-71-8
231,4 231,GC,28.809000000000001,GC only,Qualitative,78.919899999999998,99098,Qualitative,C12H8Br2O,325.8947,c1ccc(c(c1)Oc2ccc(cc2)Br)Br,NA,1-Bromo-2-(4-bromophenoxy)benzene,147217-71-8
232,4 232,GC,28.809000000000001,GC only,Qualitative,78.919899999999998,4819,Qualitative,C12H8Br2O,325.8947,c1ccc(c(c1)Oc2ccc(cc2)Br)Br,2,1-Bromo-2-(4-bromophenoxy)benzene,147217-71-8
243,NA,LC,12.83,NA,NA,138.034899999999,NA,NA,C4H10O3S,NA,CCCCS(O)(=O)=O,2,1-Butanesulfonic acid,2386-47-2
223,NA,LC+,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-methyl-",68259-15-4
220,NA,LC+,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-methyl-",68259-15-4
238,238 239,GCxGC,1.3510300925925927E-2,2.4102800000000002,48,BPI(108.057041Â±3ppm),47584,14.627098741523501,C11H14O4,210.08920000000001,CC(O)=O.CC(O)=O.CC1=CC=CC(O)C1O,3,"1-Methyl-1,3-cyclohexadiene-5,6-diol diacetate",NA
237,463 237,GCxGC,1.3510300925925927E-2,2.4,69,BPI(108.057120Â±3ppm),141975,13.3109878747658,C11H14O4,210.08920000000001,CC(O)=O.CC(O)=O.CC1=CC=CC(O)C1O,3,"1-Methyl-1,3-cyclohexadiene-5,6-diol diacetate",NA
238,*60 238,GCxGC,1.346990740740741E-2,2.4342899999999901,54,BPI(108.05655Â±0.00100),109850,4.41,C11H14O4,210.08920000000001,CC(O)=O.CC(O)=O.CC1=CC=CC(O)C1O,3,"1-Methyl-1,3-cyclohexadiene-5,6-diol diacetate",NA
238,1294 238,GCxGC,1.970324074074074E-2,2.3451499999999901,199,BPI(223.147839Â±3ppm),499801,227.70956527697501,C18H22,238.1722,CC(C)c1ccc2c(ccc3C(C)CCCc23)c1,3,"1-Methyl-7-(propan-2-yl)-1,2,3,4-tetrahydrophenanthrene",6566-19-4
237,919 237,GCxGC,1.970324074074074E-2,2.3382900000000002,63,BPI(223.148084Â±3ppm),112415,8.5602296777813507,C18H22,238.1722,CC(C)c1ccc2c(ccc3C(C)CCCc23)c1,3,"1-Methyl-7-(propan-2-yl)-1,2,3,4-tetrahydrophenanthrene",6566-19-4
243,1199 243,GCxGC,1.970324074074074E-2,2.32457,63,BPI(223.147977Â±3ppm),68633,2.8744183308273699,C18H22,238.1722,CC(C)c1ccc2c(ccc3C(C)CCCc23)c1,3,"1-Methyl-7-(propan-2-yl)-1,2,3,4-tetrahydrophenanthrene",6566-19-4
238,1043 238,GCxGC,1.715324074074074E-2,2.7360000000000002,180,BPI(192.093318Â±3ppm),219556,75.938821856681301,C15H12,192.093899999999,Cc1cccc2c1ccc3ccccc23,2,1-Methyl phenanthrene,832-69-9
238,408 239,GCxGC,1.715324074074074E-2,2.7291500000000002,44,BPI(192.093392Â±3ppm),24121,7.4146824298984901,C15H12,192.093899999999,Cc1cccc2c1ccc3ccccc23,2,1-Methyl phenanthrene,832-69-9
243,947 243,GCxGC,1.715324074074074E-2,2.7345299999999901,79,BPI(192.093240Â±3ppm),62915,3.1586188290401802,C15H12,192.093899999999,Cc1cccc2c1ccc3ccccc23,2,1-Methyl phenanthrene,832-69-9
237,NA,LC+,NA,NA,NA,NA,NA,NA,C18H11F19O2,NA,NA,2,1-Phenoxy(3-(perfluoro-7-methyloctyl)propan-2-ol),94159-92-9
238,*62 238,GCxGC,1.3996064814814815E-2,2.25599999999999,56,BPI(195.11625Â±0.00100),59752,2.91,C12H6Cl4,289.92239999999902,NA,3,"1,1'-Biphenyl, 2,2',5,5'-tetrachloro- (PCB-52) (isomer)",NA
242,*9 242,GCxGC,1.3996064814814815E-2,2.2491500000000002,44,BPI(195.11625Â±0.00100),50162,8.6304027278968398,C12H6Cl4,289.92239999999902,NA,3,"1,1'-Biphenyl, 2,2',5,5'-tetrachloro- (PCB-52) (isomer)",NA
237,*49 237,GCxGC,1.3996064814814815E-2,2.2491500000000002,74,BPI(195.11625Â±0.00100),78725,7.3809298851272702,C12H6Cl4,289.92239999999902,NA,3,"1,1'-Biphenyl, 2,2',5,5'-tetrachloro- (PCB-52) (isomer)",NA
229,573 229,GCxGC,1.0919907407407406E-2,2.2011500000000002,226,BPI(167.085523Â±3ppm),150121,42.720781724767697,C14H14,182.1096,Cc1cccc(c1)c2ccccc2C,2,"1,1'-Biphenyl, 2,3'-dimethyl-",611-43-8
230,*31 230,GCxGC,1.0919907407407406E-2,2.2080000000000002,136,BPI(167.08497Â±0.00100),203622,37.948920680452702,C14H14,182.1096,Cc1cccc(c1)c2ccccc2C,2,"1,1'-Biphenyl, 2,3'-dimethyl-",611-43-8
228,533 228,GCxGC,1.0919907407407406E-2,2.2080000000000002,144,BPI(167.085514Â±3ppm),81276,23.764240002859498,C14H14,182.1096,Cc1cccc(c1)c2ccccc2C,2,"1,1'-Biphenyl, 2,3'-dimethyl-",611-43-8
229,*20 229,GCxGC,1.116273148148148E-2,2.2285699999999902,40,BPI(167.08503Â±0.00100),66559,18.941070941565901,C14H14,182.1096,Cc1ccc(cc1)c2ccccc2C,2,"1,1'-Biphenyl, 2,4'-dimethyl-",611-61-0
230,778 230,GCxGC,1.116273148148148E-2,2.2267399999999902,100,BPI(167.085549Â±3ppm),91007,16.960924774169602,C14H14,182.1096,Cc1ccc(cc1)c2ccccc2C,2,"1,1'-Biphenyl, 2,4'-dimethyl-",611-61-0
228,551 228,GCxGC,1.116273148148148E-2,2.2217199999999901,42,BPI(167.085577Â±3ppm),42787,12.510464798985501,C14H14,182.1096,Cc1ccc(cc1)c2ccccc2C,2,"1,1'-Biphenyl, 2,4'-dimethyl-",611-61-0
237,NA,LC+,NA,NA,NA,NA,NA,NA,C9H6F12O,NA,NA,2,"1,1,2,2,3,3,4,4,5,5,6,6-Dodecafluoro-7-(vinyloxy)heptane",78971-81-0
233,119 233,GCxGC,6.2246527777777777E-3,2.5920000000000001,262,BPI(135.013775Â±3ppm),1890817,1297.3868196619701,C7H5NS,135.014299999999,s1ncc2ccccc12,2,"1,2-Benzisothiazole",272-16-2
232,126 232,GCxGC,6.4674768518518527E-3,2.5028600000000001,160,BPI(135.013717Â±3ppm),527532,458.544107767931,C7H5NS,135.014299999999,s1ncc2ccccc12,2,"1,2-Benzisothiazole",272-16-2
234,*14 234,GCxGC,6.5079861111111102E-3,2.48915,18,BPI(135.01315Â±0.00100),34834,40.070952987893797,C7H5NS,135.014299999999,s1ncc2ccccc12,2,"1,2-Benzisothiazole",272-16-2
233,221 233,GCxGC,8.5317129629629614E-3,2.0442100000000001,72,BPI(157.100820Â±3ppm),158267,100.10101368507399,C13H16,172.12520000000001,Cc1ccc2c(C=CCC2(C)C)c1,2,"1,2-Dihydro-1,1,6-trimethylnaphthalene",30364-38-6
229,*15 229,GCxGC,8.4913194444444437E-3,2.0640000000000001,29,BPI(157.10025Â±0.00100),29903,6.1793283107528998,C13H16,172.12520000000001,Cc1ccc2c(C=CCC2(C)C)c1,2,"1,2-Dihydro-1,1,6-trimethylnaphthalene",30364-38-6
238,*30 238,GCxGC,8.5317129629629614E-3,2.05715,135,BPI(157.10025Â±0.00100),263039,5.76,C13H16,172.12520000000001,Cc1ccc2c(C=CCC2(C)C)c1,2,"1,2-Dihydro-1,1,6-trimethylnaphthalene",30364-38-6
228,*18 228,GCxGC,8.4913194444444437E-3,2.0502899999999902,12,BPI(157.10025Â±0.00100),12675,2.6566900879836002,C13H16,172.12520000000001,Cc1ccc2c(C=CCC2(C)C)c1,2,"1,2-Dihydro-1,1,6-trimethylnaphthalene",30364-38-6
238,802 238,GCxGC,1.4967476851851852E-2,2.4,111,BPI(104.062260Â±3ppm),128491,44.4417604583196,C16H16,208.12520000000001,C1C[C@H]([C@H]1c2ccccc2)c3ccccc3,2,"1,2-Diphenylcyclobutane, cis-",7694-30-6
238,*26 239,GCxGC,1.5007986111111109E-2,2.38628999999999,38,BPI(104.06155Â±0.00100),69868,21.4770959749657,C16H16,208.12520000000001,C1C[C@H]([C@H]1c2ccccc2)c3ccccc3,2,"1,2-Diphenylcyclobutane, cis-",7694-30-6
237,573 237,GCxGC,1.5007986111111109E-2,2.3794300000000002,80,BPI(104.062053Â±3ppm),181740,17.039189549990802,C16H16,208.12520000000001,C1C[C@H]([C@H]1c2ccccc2)c3ccccc3,2,"1,2-Diphenylcyclobutane, cis-",7694-30-6
241,628 241,GCxGC,1.5129398148148147E-2,2.77714999999999,272,BPI(104.062094Â±3ppm),27695,13.908037864112,C16H16,208.12520000000001,C1C[C@H]([C@H]1c2ccccc2)c3ccccc3,2,"1,2-Diphenylcyclobutane, cis-",7694-30-6
243,730 243,GCxGC,1.4967476851851852E-2,2.4,127,BPI(104.062260Â±3ppm),204976,10.2907264261517,C16H16,208.12520000000001,C1C[C@H]([C@H]1c2ccccc2)c3ccccc3,2,"1,2-Diphenylcyclobutane, cis-",7694-30-6
233,240 233,GCxGC,8.8555555555555557E-3,1.93835,43,BPI(159.116791Â±3ppm),99360,62.843402097398503,C13H18,174.14089999999899,CC1CCCc2cc(C)cc(C)c12,2,"1,2,3,4-Tetrahydro-1,6,8-trimethylnaphthalene",30316-36-0
238,*35 238,GCxGC,8.8555555555555557E-3,1.94743,39,BPI(159.11625Â±0.00100),98406,4.2699999999999898,C13H18,174.14089999999899,CC1CCCc2cc(C)cc(C)c12,2,"1,2,3,4-Tetrahydro-1,6,8-trimethylnaphthalene",30316-36-0
222,59 222,GCxGC,4.7269675925925925E-3,1.9225699999999899,32,BPI(119.085757Â±3ppm),34729,155.725021063615,C10H14,134.1096,Cc1ccc(C)c(C)c1C,2,"1,2,3,4-Tetramethylbenzene",488-23-3
238,*9 238,GCxGC,4.7269675925925925E-3,1.92686,14,BPI(119.08525Â±0.00100),26850,3.54,C10H14,134.1096,Cc1ccc(C)c(C)c1C,2,"1,2,3,4-Tetramethylbenzene",488-23-3
237,*6 237,GCxGC,4.7269675925925925E-3,1.9337200000000001,10,BPI(119.08525Â±0.00100),25227,2.3513722571488902,C10H14,134.1096,Cc1ccc(C)c(C)c1C,2,"1,2,3,4-Tetramethylbenzene",488-23-3
243,*9 243,GCxGC,4.7269675925925925E-3,1.9405699999999899,18,BPI(119.08525Â±0.00100),36500,1.6045503253647799,C10H14,134.1096,Cc1ccc(C)c(C)c1C,2,"1,2,3,4-Tetramethylbenzene",488-23-3
222,37 222,GCxGC,4.1197916666666666E-3,1.86287,46,BPI(119.085625Â±3ppm),55684,249.68735272845001,C10H14,134.1096,Cc1cc(C)c(C)c(C)c1,2,"1,2,3,5-Tetramethylbenzene",527-53-7
238,*4 238,GCxGC,4.079398148148148E-3,1.8651500000000001,20,BPI(119.08505Â±0.00100),28928,6.66,C10H14,134.1096,Cc1cc(C)c(C)c(C)c1,2,"1,2,3,5-Tetramethylbenzene",527-53-7
243,*4 243,GCxGC,4.079398148148148E-3,1.85829,52,BPI(119.08505Â±0.00100),78231,3.4390568905099199,C10H14,134.1096,Cc1cc(C)c(C)c(C)c1,2,"1,2,3,5-Tetramethylbenzene",527-53-7
222,152 222,GCxGC,8.3293981481481483E-3,2.5264600000000002,63,BPI(124.052056Â±3ppm),84130,335.31274001086399,C7H8O2,124.05240000000001,Cc1cc(O)cc(O)c1,2,"1,3-Benzenediol, 5-methyl-",504-15-4
230,*22 230,GCxGC,8.288888888888889E-3,2.53715,57,BPI(124.05155Â±0.00100),267683,37.695582279497998,C7H8O2,124.05240000000001,Cc1cc(O)cc(O)c1,2,"1,3-Benzenediol, 5-methyl-",504-15-4
229,*14 229,GCxGC,8.288888888888889E-3,2.544,20,BPI(124.05155Â±0.00100),60407,12.4828507262699,C7H8O2,124.05240000000001,Cc1cc(O)cc(O)c1,2,"1,3-Benzenediol, 5-methyl-",504-15-4
232,7.13,LC,NA,NA,NA,NA,NA,NA,NA,mz 182.0453,COc1ccc(OC)c(c1)[N+]([O-])=O,3,"1,4-dimethoxy-2-nitrobenzene",89-39-4
224,*2 224,GCxGC,3.674652777777778E-3,1.4811399999999899,63,BPI(68.06155Â±0.00100),2161964,6470.0404010174998,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
222,*1 222,GCxGC,3.5936342592592587E-3,1.4948600000000001,36,BPI(68.06155Â±0.00100),485135,2175.3479251834701,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
225,*2 225,GCxGC,3.5936342592592587E-3,1.4811399999999899,41,BPI(68.06155Â±0.00100),397347,1909.33531948632,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
220,*1 220,GCxGC,3.5531250000000003E-3,1.488,65,BPI(68.06155Â±0.00100),1266800,1102.7614738596801,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
223,*1 223,GCxGC,3.5531250000000003E-3,1.488,65,BPI(68.06155Â±0.00100),251694,825.93707699249296,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,2,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
232,8 232,GCxGC,3.5936342592592587E-3,1.488,55,BPI(68.062095Â±3ppm),627930,545.812579314083,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,2,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
234,*2 234,GCxGC,3.5936342592592587E-3,1.50171999999999,49,BPI(93.06935Â±0.00100),284421,327.18093011912902,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
221,*1 221,GCxGC,3.5531250000000003E-3,1.50857,32,BPI(68.06155Â±0.00100),83775,317.086325829619,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
233,7 233,GCxGC,3.5531250000000003E-3,1.4948600000000001,53,BPI(68.062178Â±3ppm),198778,136.391812237126,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
219,*1 219,GCxGC,3.5127314814814817E-3,1.50857,19,BPI(68.06155Â±0.00100),61116,88.821712749336896,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
242,4 242,GCxGC,3.5936342592592587E-3,1.4811399999999899,35,BPI(68.062069Â±3ppm),114391,16.220452728744,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,2,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
237,*1 237,GCxGC,3.5531250000000003E-3,1.488,19,BPI(68.06155Â±0.00100),133243,12.4193877060011,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
243,*1 243,GCxGC,3.5936342592592587E-3,1.488,41,BPI(68.06155Â±0.00100),200391,8.8092450479499593,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
238,*1 238,GCxGC,3.5531250000000003E-3,1.488,37,BPI(68.06155Â±0.00100),446907,7.88,C10H16,136.12520000000001,CC1=CCCC(=CCC1)C,3,"1,5-Cyclooctadiene, 1,5-dimethyl-",3760-14-3
231,1290 231,GCxGC,2.4155555555555555E-2,1.87338,580,BPI(179.143064Â±3ppm),2334218,7225.2964524755098,C23H40O3,364.29770000000002,CCCCCc1oc(C(C)CCCCCCCCCC(=O)OC)c(C)c1C,NA,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",71041-49-1
232,1149 232,GCxGC,2.4115162037037036E-2,1.87886,580,BPI(179.143125Â±3ppm),2600425,1691.36149518977,C23H40O3,364.29770000000002,CCCCCc1oc(C(C)CCCCCCCCCC(=O)OC)c(C)c1C,2,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",71041-49-1
229,*46 229,GCxGC,2.4115162037037036E-2,1.87886,237,BPI(179.14255Â±0.00100),1311345,588.78264105817198,C23H40O3,364.29770000000002,CCCCCc1oc(C(C)CCCCCCCCCC(=O)OC)c(C)c1C,2,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",71041-49-1
228,*50 228,GCxGC,2.4074652777777775E-2,1.8857200000000001,279,BPI(179.14255Â±0.00100),1193643,313.61592825663502,C23H40O3,364.29770000000002,CCCCCc1oc(C(C)CCCCCCCCCC(=O)OC)c(C)c1C,2,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",71041-49-1
233,*38 233,GCxGC,2.4155555555555555E-2,1.8720000000000001,33,BPI(179.14255Â±0.00100),166684,173.865895950621,C23H40O3,364.29770000000002,CCCCCc1oc(C(C)CCCCCCCCCC(=O)OC)c(C)c1C,2,"11-(3,4-Dimethyl-5-pentyl-2-furyl)-dodecanoic acid, methyl ester",71041-49-1
231,1152 231,GCxGC,2.2334143518518521E-2,1.8788499999999899,136,BPI(151.111642Â±3ppm),491067,1520.0399675727699,C21H36O3,336.26639999999901,CCCc1oc(CCCCCCCCCCC(=O)OC)c(C)c1C,NA,"11-(3,4-Dimethyl-5-propyl-2-furyl)-undecanoic acid, methyl ester",86879-46-1
232,1018 232,GCxGC,2.229363425925926E-2,1.87886,145,BPI(151.111678Â±3ppm),680776,442.78851082008202,C21H36O3,336.26639999999901,CCCc1oc(CCCCCCCCCCC(=O)OC)c(C)c1C,2,"11-(3,4-Dimethyl-5-propyl-2-furyl)-undecanoic acid, methyl ester",86879-46-1
