Name_original,Name,CAS,Norman_SusDat_ID,Norman_matched,Norman_matched_Synonym_Reliability,CAS_RN,DTXSID,Molecular_Formula
&#946;-Lapachone,&#946;-Lapachone,NA,NA,NA,NA,NA,NA,NA
(-)-Corey lactone,(-)-Corey lactone,NA,NA,NA,NA,NA,NA,NA
(-)-epigallocatechin,(-)-epigallocatechin,NA,NA,NA,NA,NA,NA,NA
"(-)-epigallocatechin|(2R,3R)-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol","(-)-epigallocatechin|(2R,3R)-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",NA,NA,NA,NA,NA,NA,NA
(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,105812-81-5,NS00003739,Name,NA,CAS_RN: 105812-81-5,NA,C13H18F1N1O1
(((2-((2-((2-Aminoethyl)amino)ethyl)amino)ethyl)amino)methyl)phenol,(((2-((2-((2-Aminoethyl)amino)ethyl)amino)ethyl)amino)methyl)phenol,51818-54-3,NS00020523,Name,NA,CAS_RN: 51818-54-3,DTXSID90199770,C13H24N4O1
(((Phenylmethoxy)methoxy)methoxy)methanol,(((Phenylmethoxy)methoxy)methoxy)methanol,35445-71-7,NS00029859,Name,NA,CAS_RN: 35445-71-7,DTXSID30188946,C10H14O4
((1-Amino-2-naphthyl)oxy)acetic acid,((1-Amino-2-naphthyl)oxy)acetic acid,85237-53-2,NS00038857,Name,NA,CAS_RN: 85237-53-2,DTXSID20234441,C12H11N1O3
((1-Oxoallyl)amino)dodecanesulphonic acid,((1-Oxoallyl)amino)dodecanesulphonic acid,93983-64-3,NS00039880,Name,NA,CAS_RN: 93983-64-3,DTXSID50240176,C15H29N1O4S1
"((1,1,3,3-Tetramethylbutyl)thio)acetic acid","((1,1,3,3-Tetramethylbutyl)thio)acetic acid",58537-61-4,NS00033949,Name,NA,CAS_RN: 58537-61-4,DTXSID20207256,C10H20O2S1
"((1,2-Benzisothiazol-3-yloxy)methyl)(diethyl)amine","((1,2-Benzisothiazol-3-yloxy)methyl)(diethyl)amine",94087-87-3,NS00039997,Name,NA,CAS_RN: 94087-87-3,DTXSID30240452,C12H16N2O1S1
"((2,2,8-Trimethyl-4H-1,3-dioxino(4,5-c)pyridin-5-yl)methyl) hydrogen succinate","((2,2,8-Trimethyl-4H-1,3-dioxino(4,5-c)pyridin-5-yl)methyl) hydrogen succinate",94108-52-8,NS00040053,Name,NA,CAS_RN: 94108-52-8,DTXSID70240577,C15H19N1O6
((3-(sec-butyl)-4-(decyloxy)phenyl)methanetriyl)tribenzene,((3-(sec-butyl)-4-(decyloxy)phenyl)methanetriyl)tribenzene,NA,NA,NA,NA,NA,NA,NA
((4-Amino-2-sulphophenyl)amino)oxoacetic acid,((4-Amino-2-sulphophenyl)amino)oxoacetic acid,6364-15-4,NS00035516,Name,NA,CAS_RN: 6364-15-4,DTXSID80213015,C8H8N2O6S1
"((4-Amino-6-((hydroxymethyl)amino)-1,3,5-triazin-2-yl)imino)bismethanol","((4-Amino-6-((hydroxymethyl)amino)-1,3,5-triazin-2-yl)imino)bismethanol",38228-20-5,NS00030361,Name,NA,CAS_RN: 38228-20-5,DTXSID90191618,C6H12N6O3
((4-Methoxybenzoyl)oxy)acetic acid,((4-Methoxybenzoyl)oxy)acetic acid,10414-68-3,NS00023281,Name,NA,CAS_RN: 10414-68-3,DTXSID80146314,C10H10O5
((4-Methylpyrimidin-2-yl)thio)acetic acid,((4-Methylpyrimidin-2-yl)thio)acetic acid,46118-95-0,NS00031582,Name,NA,CAS_RN: 46118-95-0,DTXSID00196730,C7H8N2O2S1
((4-phenylbutyl)hydroxyphosphoryl)acetic acid,((4-phenylbutyl)hydroxyphosphoryl)acetic acid,NA,NA,NA,NA,NA,NA,NA
"((6-(Bis(hydroxymethyl)amino)-1,3,5-triazine-2,4-diyl)diimino)bismethanol","((6-(Bis(hydroxymethyl)amino)-1,3,5-triazine-2,4-diyl)diimino)bismethanol",17600-13-4,NS00025779,Name,NA,CAS_RN: 17600-13-4,DTXSID50170065,C7H14N6O4
"((6-Amino-1,3,5-triazine-2,4-diyl)dinitrilo)tetrakismethanol","((6-Amino-1,3,5-triazine-2,4-diyl)dinitrilo)tetrakismethanol",38228-21-6,NS00030362,Name,NA,CAS_RN: 38228-21-6,DTXSID50191619,C7H14N6O4
((9-Oxo-9H-thioxanthen-2-yl)oxy)acetic acid,((9-Oxo-9H-thioxanthen-2-yl)oxy)acetic acid,84434-05-9,NS00038504,Name,NA,CAS_RN: 84434-05-9,DTXSID60233397,C15H10O4S1
"(2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-Pentacosafluorotridecyl)oxirane",((Perfluorododecyl)methyl)oxirane,94158-66-4,NS00019338,Name,NA,CAS_RN: 94158-66-4,DTXSID40881138,C15H5F25O1
POLYFLGSID_881139,((Perfluorotetradecyl)methyl)oxirane,94158-67-5,NS00019339,Name,NA,CAS_RN: 94158-67-5,DTXSID00881139,C17H5F29O1
((Phenylmethoxy)methoxy)methanol,((Phenylmethoxy)methoxy)methanol,35445-70-6,NS00029858,Name,NA,CAS_RN: 35445-70-6,DTXSID70188945,C9H12O3
"({3-Acetamido-4-[(E)-(2,4-dinitrophenyl)diazenyl]phenyl}azanediyl)di(ethane-2,1-diyl) diacetate","({3-Acetamido-4-[(E)-(2,4-dinitrophenyl)diazenyl]phenyl}azanediyl)di(ethane-2,1-diyl) diacetate",NA,NA,NA,NA,NA,NA,NA
"({3-Acetamido-4-[(E)-(6-bromo-1,3-benzothiazol-2-yl)diazenyl]phenyl}azanediyl)di(ethane-2,1-diyl) diacetate","({3-Acetamido-4-[(E)-(6-bromo-1,3-benzothiazol-2-yl)diazenyl]phenyl}azanediyl)di(ethane-2,1-diyl) diacetate",NA,NA,NA,NA,NA,NA,NA
"({4-[(E)-(2-Cyano-4-nitrophenyl)diazenyl]-3-methylphenyl}azanediyl)di(ethane-2,1-diyl) diacetate","({4-[(E)-(2-Cyano-4-nitrophenyl)diazenyl]-3-methylphenyl}azanediyl)di(ethane-2,1-diyl) diacetate",NA,NA,NA,NA,NA,NA,NA
thioctic acid,(+-)-Lipoic acid,1077-28-7,NA,comptox batch - Synonym - WARNING: Synonym mapped to two or more chemicals.,NA,1077-28-7,DTXSID7025508,C8H14O2S2
(+-)-TRANS-3-METHYL-1-[(4-METHYLPHENYL)SULFONYL]-4-PHENYLPIPERIDINE-4-CARBONITRILE _x000D_,(+-)-TRANS-3-METHYL-1-[(4-METHYLPHENYL)SULFONYL]-4-PHENYLPIPERIDINE-4-CARBONITRILE _x000D_,NA,NA,NA,NA,NA,NA,NA
"(+)-(S,S)-6-fluoro-3,4-dihydro-2-(2-oxiranyl)-2H-1-benzopyran","(+)-(S,S)-6-fluoro-3,4-dihydro-2-(2-oxiranyl)-2H-1-benzopyran",129050-23-3,NS00002314,Name,NA,CAS_RN: 129050-23-3,NA,C11H11F1O2
"(+)-13-Ethylgon-4-ene-3,17-dione","(+)-13-Ethylgon-4-ene-3,17-dione",NA,NA,NA,NA,NA,NA,NA
(+)-2-Cyano-6-phenyloxazolopiperidine,(+)-2-Cyano-6-phenyloxazolopiperidine,106565-71-3,NS00004560,Name,NA,CAS_RN: 106565-71-3,DTXSID60893657,C14H16N2O1
(+)-ar-Turmerone,(+)-ar-Turmerone,NA,NA,NA,NA,NA,NA,NA
(+)-Biotin N-hydroxysuccinimide ester,(+)-Biotin N-hydroxysuccinimide ester,35013-72-0,NS00015119,Name,NA,CAS_RN: 35013-72-0,NA,C14H19N3O5S1
(+)-Evodiamine,(+)-Evodiamine,518-17-2,NS00018360,Name,NA,CAS_RN: 518-17-2,NA,C19H17N3O1
D-(+)-Fucose,(+)-Fucose,3615-37-0,NA,comptox batch - Expert Validated Synonym,NA,3615-37-0,DTXSID80883994,C6H12O5
metergoline,"(+)-N-(Carboxy)-1-methyl-9,10-dihydrolysergamine benzyl ester",17692-51-2,NA,comptox batch - Synonym,NA,17692-51-2,DTXSID5042584,C25H29N3O2
(+)-Pinanediol,(+)-Pinanediol,18680-27-8,NS00026108,Name,NA,CAS_RN: 18680-27-8,DTXSID00171941,C10H18O2
Shikonin,(+)-Shikonin,517-89-5,NS00018361,Name_ChemSpider,NA,CAS_RN: 517-89-5,DTXSID30199653,C16H16O5
(+)Camphorquinone,(+)Camphorquinone,10373-78-1,NS00019583,Name,NA,CAS_RN: 10373-78-1,DTXSID7049394,C10H14O2
"(+/-)-2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol","(+/-)-2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol",NA,NA,NA,NA,NA,NA,NA
(+/-)-C75,(+/-)-C75,191282-48-1,NS00018693,Name,NA,CAS_RN: 191282-48-1,NA,C14H22O4
"(+/-)-CP 47,497-C7-Hydroxy metabolite","(+/-)-CP 47,497-C7-Hydroxy metabolite",1554485-44-7,NS00017227,Name,NA,CAS_RN: 1554485-44-7,NA,C21H34O3
"(+/-)-CP 55,940","(+/-)-CP 55,940",83003-12-7,NS00017349,Name,NA,CAS_RN: 83003-12-7,NA,C24H40O3
(+/-)-JWH 018 N-(4-hydroxypentyl) metabolite,(+/-)-JWH 018 N-(4-hydroxypentyl) metabolite,1320363-47-0,NS00017229,Name,NA,CAS_RN: 1320363-47-0,NA,C24H23N1O2
(+/-)-JWH 073 N-(3-hydroxybutyl) metabolite,(+/-)-JWH 073 N-(3-hydroxybutyl) metabolite,1320363-48-1,NS00017231,Name,NA,CAS_RN: 1320363-48-1,NA,C23H21N1O2
Mercaptosuccinic acid,(+/-)-Mercaptosuccinic acid,70-49-5,NS00020699,Name,NA,CAS_RN: 70-49-5,DTXSID20861615,C4H6O4S1
(+/-)-ORG 28611,(+/-)-ORG 28611,784138-08-5,NS00017636,Name,NA,CAS_RN: 784138-08-5,NA,C23H33N3O2
(+/-)-threo-4-Fluoromethylphenidate,(+/-)-threo-4-Fluoromethylphenidate,NA,NS00018077,Name,NA,NA,NA,C14H18F1N1O2
(+/-)-threo-Ethylnaphthidate,(+/-)-threo-Ethylnaphthidate,NA,NS00018373,Name,NA,NA,NA,C19H23N1O2
(+/-)-threo-Isopropylphenidate,(+/-)-threo-Isopropylphenidate,NA,NS00018221,Name,NA,NA,NA,C16H23N1O2
(+/-)-threo-Methylnaphthidate,(+/-)-threo-Methylnaphthidate,NA,NS00018064,Name,NA,NA,NA,C18H21N1O2
"2,5-DimethoxyAmphetamine","(+/-) -1-(2,5-Dimethoxyphenyl)-2-aminopropane",2801-68-5,NS00007099,Name,NA,CAS_RN: 2801-68-5,DTXSID2091540,C11H17N1O2
(+/-)12(13)-DiHOME,(+/-)12(13)-DiHOME,263399-35-5,NS00018716,Name,NA,CAS_RN: 263399-35-5,NA,C18H34O4
(+/-)5(6)-EET Ethanolamide,(+/-)5(6)-EET Ethanolamide,NA,NS00017070,Name,NA,NA,NA,C22H37N1O3
(1-benzylindazol-3-yl)methanol,(1-Benzyl-1H-indazol-3-yl)methanol,131427-21-9,NS00001655,Name_IUPAC,NA,CAS_RN: 131427-21-9,DTXSID70443142,C15H14N2O1
(1-Bromocyclopentyl)-2-thienyl ketone,(1-Bromocyclopentyl)-2-thienyl ketone,94139-04-5,NS00040166,Name,NA,CAS_RN: 94139-04-5,DTXSID50240797,C10H11Br1O1S1
JWH 080,(1-Butyl-1H-indol-3-yl)(4-methoxynaphthalen-1-yl)methanone,210179-44-5,NS00017937,Synonyms_ChemSpider,0,CAS_RN: 210179-44-5,DTXSID20441597,C24H23N1O2
(1-Chlorocyclohexyl) cyclohexyl ketone,(1-Chlorocyclohexyl) cyclohexyl ketone,83803-75-2,NS00022828,Name,NA,CAS_RN: 83803-75-2,DTXSID30232670,C13H21Cl1O1
(1-Cyanocyclohexyl)acetic acid,(1-Cyanocyclohexyl)acetic acid,133481-09-1,NS00024288,Name,NA,CAS_RN: 133481-09-1,DTXSID40158130,C9H13N1O2
JWH 031,(1-Hexyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,162934-74-9,NS00017576,Synonyms_ChemSpider,0,CAS_RN: 162934-74-9,DTXSID40433914,C21H23N1O1
JWH-147,(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,914458-20-1,NS00017532,Name_ChemSpider,NA,CAS_RN: 914458-20-1,DTXSID00658823,C27H27N1O1
(1-Hydroxy-iso-propyl)acetophenone,(1-Hydroxy-iso-propyl)acetophenone,1634-36-2,NS00108544,Name,NA,CAS_RN: 1634-36-2,NA,C11H14O2
(1-hydroxydodecylidene)diphosphonic acid,(1-hydroxydodecylidene)diphosphonic acid,16610-63-2,NS00002393,Name,NA,CAS_RN: 16610-63-2,NA,C12H28O7P2
(1-Methoxy-1-methylethyl)cycloheptane,(1-Methoxy-1-methylethyl)cycloheptane,93963-41-8,NS00039798,Name,NA,CAS_RN: 93963-41-8,DTXSID70239961,C11H22O1
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate","(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate",42978-66-5,NS00105311,Name,NA,CAS_RN: 42978-66-5,NA,C15H24O6
"(1-methylethylidene)bis(4,1-phenyleneoxy-3,1-propanediyl) bismethacrylate","(1-methylethylidene)bis(4,1-phenyleneoxy-3,1-propanediyl) bismethacrylate",27689-12-9,NS00008887,Name,NA,CAS_RN: 27689-12-9,NA,C29H36O6
"(1-Methylethylidene)bis(4,1-phenyleneoxy-3,1-propanediyl) diacrylate","(1-Methylethylidene)bis(4,1-phenyleneoxy-3,1-propanediyl) diacrylate",51989-01-6,NS00032398,Name,NA,CAS_RN: 51989-01-6,DTXSID80199946,C27H32O6
"(1-Methylethylidene)di-4,1-cyclohexanediyl bis(mercaptoacetate)","(1-Methylethylidene)di-4,1-cyclohexanediyl bis(mercaptoacetate)",24293-41-2,NS00027604,Name,NA,CAS_RN: 24293-41-2,DTXSID80179021,C19H32O4S2
JWH-180,(1-Propyl-1H-indol-3-yl)(4-propylnaphthalen-1-yl)methanone,824959-87-7,NS00018417,Synonyms_ChemSpider,0,CAS_RN: 824959-87-7,DTXSID80669851,C25H25N1O1
"(1)(1alpha,2alpha,5beta)-5-Methyl-2-(1-methylethyl)cyclohexyl salicylate","(1)(1alpha,2alpha,5beta)-5-Methyl-2-(1-methylethyl)cyclohexyl salicylate",93966-39-3,NS00039824,Name,NA,CAS_RN: 93966-39-3,DTXSID70240032,C17H26O3
"(1,1'-Bicyclohexyl)-1-carboxylic acid","(1,1'-Bicyclohexyl)-1-carboxylic acid",60263-54-9,NS00034321,Name,NA,CAS_RN: 60263-54-9,DTXSID60209017,C13H22O2
"(1,1'-Biphenyl)-2-carboxamide","(1,1'-Biphenyl)-2-carboxamide",13234-79-2,NS00024207,Name,NA,CAS_RN: 13234-79-2,DTXSID80157501,C13H11N1O1
"(1,1'-Biphenyl)-3,4-dicarboxylic acid","(1,1'-Biphenyl)-3,4-dicarboxylic acid",4445-58-3,NS00031431,Name,NA,CAS_RN: 4445-58-3,DTXSID30196182,C14H10O4
"(1,1'-Biphenyl)-4-carbohydrazide","(1,1'-Biphenyl)-4-carbohydrazide",18622-23-6,NS00026095,Name,NA,CAS_RN: 18622-23-6,DTXSID10171871,C13H12N2O1
"4,4'-Dihydroxy-2'-chlorobiphenyl","(1,1'-Biphenyl)-4,4'-diol, 2-chloro-",56858-70-9,NS00005419,Synonyms_ChemSpider,0,CAS_RN: 56858-70-9,DTXSID70205388,C12H9Cl1O2
"(1,1-Bicyclopentyl)-2-yl 2-butenoate.","(1,1-Bicyclopentyl)-2-yl 2-butenoate",NA,NA,NA,NA,NA,NA,NA
"1,2,3,4-Tetrahydroisoquinoline-1-acetic acid","(1,2,3,4-Tetrahydroisoquinolin-1-yl)acetic acid",105400-81-5,NS00015743,Synonyms_ChemSpider,0,CAS_RN: 105400-81-5,DTXSID10369973,C11H13N1O2
"(1,3-Dimethylbutylidene)bis(tert-butyl) peroxide","(1,3-Dimethylbutylidene)bis(tert-butyl) peroxide",36799-28-7,NS00030099,Name,NA,CAS_RN: 36799-28-7,DTXSID10190264,C14H28O2
"(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl (1R-trans)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate","(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl (1R-trans)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",1166-46-7,NS00081549,Name,NA,CAS_RN: 1166-46-7,NA,C19H25NO4
"(1,4'-Bipiperidine)-4'-carboxamide","(1,4'-Bipiperidine)-4'-carboxamide",39633-82-4,NS00030627,Name,NA,CAS_RN: 39633-82-4,DTXSID30192740,C11H21N3O1
"(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol.","(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",68877-29-2,NA,comptox batch - Approved Name,NA,68877-29-2,DTXSID4052425,C16H28O
(10E)-9-Hydroxy-13-oxo-10-octadecenoic acid,(10E)-9-Hydroxy-13-oxo-10-octadecenoic acid,,NS00010338,Name,NA,CAS_RN: NA,NA,C18H32O4
"(11R*,15R*)-11,15-Dimethyl-1,4,7,10-tetraoxa-13-azacyclopentadecane","(11R*,15R*)-11,15-Dimethyl-1,4,7,10-tetraoxa-13-azacyclopentadecane",78946-84-6,NS00038015,Name,NA,CAS_RN: 78946-84-6,DTXSID10229402,C12H25N1O4
"(13-Amino-2,5,8,11-tetraazatridec-1-yl)dimethylphenol","(13-Amino-2,5,8,11-tetraazatridec-1-yl)dimethylphenol",84878-45-5,NS00038694,Name,NA,CAS_RN: 84878-45-5,DTXSID60233933,C17H33N5O1
(Z)-docos-13-enoic acid,(13Z)-Docos-13-enoic acid,112-86-7,NS00005003,Name_IUPAC,NA,CAS_RN: 112-86-7,DTXSID8026931,C22H42O2
"(14R*,18R*)-14,18-Dimethyl-1,4,7,10,13-pentaoxa-16-azacyclooctadecane","(14R*,18R*)-14,18-Dimethyl-1,4,7,10,13-pentaoxa-16-azacyclooctadecane",78946-83-5,NS00038014,Name,NA,CAS_RN: 78946-83-5,DTXSID50229401,C14H29N1O5
(17alpha)-17-hydroxy-3-oxoandrost-4-ene-17-carbonitrile,(17alpha)-17-hydroxy-3-oxoandrost-4-ene-17-carbonitrile,NA,NA,NA,NA,NA,NA,NA
(17beta)-17-(((4-(Butoxycarbonyl)cyclohexyl)carbonyl)oxy)androst-4-en-3-one,(17beta)-17-(((4-(Butoxycarbonyl)cyclohexyl)carbonyl)oxy)androst-4-en-3-one,94134-95-9,NS00040132,Name,NA,CAS_RN: 94134-95-9,DTXSID90240736,C31H46O5
Methyldienolone,"(17beta)-17-Hydroxy-17-methylestra-4,9-dien-3-one",14531-89-6,NS00018617,Synonyms_ChemSpider,0,CAS_RN: 14531-89-6,DTXSID70726902,C19H26O2
"(1a,2b,5a)-2-Methyl-5-(1-methylvinyl)cyclohexylacetate.","(1a,2b,5a)-2-Methyl-5-(1-methylvinyl)cyclohexylacetate",NA,NA,NA,NA,NA,NA,NA
"(1a,3ab,4a,8ab,9S*)-Octahydro-4,8,8,9-tetramethyl-1,4-methanoazulen-2(1H)-one.","(1a,3ab,4a,8ab,9S*)-Octahydro-4,8,8,9-tetramethyl-1,4-methanoazulen-2(1H)-one",NA,NA,NA,NA,NA,NA,NA
"(1alpha,2beta,5alpha)-2-Methyl-5-(1-methylvinyl)cyclohexyl propionate","(1alpha,2beta,5alpha)-2-Methyl-5-(1-methylvinyl)cyclohexyl propionate",71662-22-1,NS00037266,Name,NA,CAS_RN: 71662-22-1,DTXSID50221900,C13H22O2
"(1alpha,2beta,5alpha)-5-Methyl-2-(1-methylethyl)cyclohexyl (R)-N-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alaninate","(1alpha,2beta,5alpha)-5-Methyl-2-(1-methylethyl)cyclohexyl (R)-N-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-beta-alaninate",85508-39-0,NS00038967,Name,NA,CAS_RN: 85508-39-0,DTXSID70234719,C19H35N1O5
"(1alpha,2beta,5alpha)-5-Methyl-2-(1-methylethyl)cyclohexyl decanoate","(1alpha,2beta,5alpha)-5-Methyl-2-(1-methylethyl)cyclohexyl decanoate",94020-93-6,NS00039889,Name,NA,CAS_RN: 94020-93-6,DTXSID20240224,C20H38O2
"(1alpha,2beta,5alpha)-5-Methyl-2-(1-methylethyl)cyclohexyl palmitate","(1alpha,2beta,5alpha)-5-Methyl-2-(1-methylethyl)cyclohexyl palmitate",96097-19-7,NS00040472,Name,NA,CAS_RN: 96097-19-7,DTXSID50242115,C26H50O2
"(1alpha,5alpha,17beta)-17-Hydroxy-1-methylandrostan-3-one 3-(cyclopentyl)propionate","(1alpha,5alpha,17beta)-17-Hydroxy-1-methylandrostan-3-one 3-(cyclopentyl)propionate",55779-17-4,NS00033392,Name,NA,CAS_RN: 55779-17-4,DTXSID50204339,C28H44O3
"(1aS-(1aa,2a,4ab,8aR*))-Octahydro-2,4a,8,8-tetramethylcyclopropa(d)naphthalen-","(1aS-(1aa,2a,4ab,8aR*))-Octahydro-2,4a,8,8-tetramethylcyclopropa(d)naphthalen-",NA,NA,NA,NA,NA,NA,NA
"(1aS-(1aa,2ab,3a,5aa,7b,7aa))-Octahydro-3,6,6,7a-tetramethyl-2H-2a,7-","(1aS-(1aa,2ab,3a,5aa,7b,7aa))-Octahydro-3,6,6,7a-tetramethyl-2H-2a,7-",NA,NA,NA,NA,NA,NA,NA
"(1E)-1-(1-Ethylnaphtho[1,2-d][1,3]thiazol-2(1H)-ylidene)propan-2-one","(1E)-1-(1-Ethylnaphtho[1,2-d][1,3]thiazol-2(1H)-ylidene)propan-2-one",NA,NA,NA,NA,NA,NA,NA
(1E)-1-(4-Nitrophenyl)-3-{4-[(E)-phenyldiazenyl]phenyl}triaz-1-ene,(1E)-1-(4-Nitrophenyl)-3-{4-[(E)-phenyldiazenyl]phenyl}triaz-1-ene,NA,NA,NA,NA,NA,NA,NA
(1E)-1-Chlorododec-1-ene,(1E)-1-Chlorododec-1-ene,NA,NA,NA,NA,NA,NA,NA
"(1E)-1,3,3-Trimethoxyprop-1-ene","(1E)-1,3,3-Trimethoxyprop-1-ene",NA,NA,NA,NA,NA,NA,NA
(1E)-3-Benzyl-1-(4-methylphenyl)triaz-1-ene,(1E)-3-Benzyl-1-(4-methylphenyl)triaz-1-ene,NA,NA,NA,NA,NA,NA,NA
(1E)-3-chloro-N'-sulfamoylpropanimidamide hydrochloride,(1E)-3-chloro-N'-sulfamoylpropanimidamide hydrochloride,NA,NA,NA,NA,NA,NA,NA
(1E)-4-Methyl-1-phenylpent-1-en-3-one,(1E)-4-Methyl-1-phenylpent-1-en-3-one,NA,NA,NA,NA,NA,NA,NA
